# Motion Design Studios: exported from Notion (collection fd4f344e-8001-4fed-a9e8-0f23ffc82f04)
#source: notion
#cols: name	href	city	style
Loom	https://loomofideas.com/	Brighton UK
Loulou & Tummie	https://loulouandtummie.com/	Tilburg Netherlands	Character-focused;Animation
Lucion	https://lucion.ca/en/	Montreal QC	Installations
LUMBRE	http://www.lumbre.tv/	Buenos Aires Argentina
Lunar North	https://www.lunarnorth.tv/	Ferndale MI	UI/UX
Luxx	http://luxx.tv/	Sydney Australia
Madhouse	https://madmadmad.com/	Toledo OH	Video production
Mainframe	http://mainframe.co.uk/	London UK	Mostly 3D
Makematic	https://makematic.com/	Belfast Northern Ireland;Londonderry Northern Ireland
Man vs. Machine	https://mvsm.com/	London UK;Los Angeles CA
Mashmob	https://www.mashmob.co.uk/	Belfast Northern Ireland
Mass FX	https://www.massfxmedia.com/	Denver CO
Media.Monks	https://media.monks.com/	Denver CO;Los Angeles CA;New York NY;San Francisco CA;Toronto ON
Media.Work	https://media.work/	Los Angeles CA	Mostly 3D
Mellow Studio	https://www.mellowstudio.tv/	Athens Greece
Method Studios	https://www.methodstudios.com/en/	Los Angeles CA;New York NY;Atlanta GA;Vancouver BC;Montreal QC;Melbourne Australia	TV/Movie-related
Mighty Nice	https://mightynice.com.au/	Sydney Australia
Milk and Peppers	https://milkandpeppers.co.uk/	Norwich UK
Minimal Massive	https://www.minimalmassive.tv/	Portland OR
Mister	https://www.mister.net.au/	Sydney Australia
Mixcode	https://mixcode.tv/portfolio	Taipei City Taiwan	Animation
MK12	https://www.mk12.com/	Kansas City MO	Video game-related
MOCEAN	https://www.moceanla.com/	Los Angeles CA
MOD	https://themoderati.com/	Philadelphia PA
Mod Op	https://www.modop.com/	New York NY;Miami FL;Kansas City MO;Dallas TX;Portland OR;Los Angeles CA;Minneapolis MN;Cleveland OH;Panama City Panama
Mongo	https://mongostudio.com/	Montreal QC	Character-focused;Explainer videos
Monolith	https://monolith.agency/en/	Montreal QC
monopo	https://monopo.london/	London UK;New York NY;Tokyo JP
Morning Giants	https://morninggiantsstudio.com/landing	Hong Kong
Moth	https://www.moth.studio/	London UK
Motion 504	https://motion504.squarespace.com/	Minneapolis MN
Motioncue	https://motioncue.com/	New York NY;Los Angeles CA	Explainer videos
Motionlab Studio	https://www.motionlab.com.au/	Sydney Australia	Explainer videos
Mousetrappe	https://www.mousetrappe.com/	Burbank CA	Installations
Move Animation Studio	https://www.moveanimation.com/	Brighton UK
MOWE Studio	https://mowe.studio/	Hallandale Beach FL;Barcelona Spain
Mute	https://muteanimation.studio/	Leeds UK
Nerdo	http://www.nerdo.tv/	Turin Italy
Never Sit Still	https://neversitstill.com/	Sydney Australia
New Holland	http://www.newhollandcreative.com/	Sydney Australia	Mostly 3D
Newfangled Studios	https://www.newfangledstudios.com/	Boston MA
Nice Shoes	https://www.niceshoes.com/	Toronto ON;New York NY
Niceshit	https://niceshit.tv/	Barcelona Spain	Character-focused;Animation
Nifty Studio	https://www.niftystudio.com/	Denver CO	Mostly 3D
Night Shift Studio	https://nightshiftstudio.co/	Toronto ON
Nobl	https://www.nobl.tv/	Lyon France
